MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Wrangler ,SS26/27,Cotton Club,Polo ,,,Knitted Polo Shirt ,Crudo ,52,Bangladesh ,$13.34,"279,000  ","195,300",67%,52%,Abril
Wrangler ,SS26/27,Dekko,Camisa,,,Wrange Shirt ,Harbor Blue ,26,Bangladesh ,$23.90,"519,000  ","363,300",69%,54%,Abril
Wrangler ,SS26/27,Pacific Jeans ,Blusa ,,,Pleated Corset top ,Lone Rider ,20,Bangladesh ,$19.08,"410,000  ","287,000",68%,53%,Abril
Wrangler ,SS26/27,KENPARK,Campera ,,,Classic Jacket,Harbor Blue ,6,Bangladesh ,$41.75,"879,000  ","615,300",68%,53%,Abril
LEE,SS26/27,KENPARK,Vaquero ,,,Bresse Boot ,Valiant Blue ,450,Bangladesh ,$19.08,"409,000  ","286,300",68%,53%,Abril
LEE,SS26/27,KENPARK,Vaquero ,,,Bresse Boot ,Afternoon Song ,450,Bangladesh ,$17.40,"369,000  ","258,300",68%,53%,Abril
Wrangler ,FW26,,Pantalón,,,Windward Utility Pant,Gris,400,,$13.91,"319,000  ","223,300",70%,56%,En Stock
Wrangler ,FW26,,Pantalón,,,Windward Utility Pant,Negro,400,,$13.91,"319,000  ","223,300",70%,56%,En Stock
Wrangler ,FW26,,Pantalón,,,Windward Utility Pant,Beige,400,,$13.91,"319,000  ","223,300",70%,56%,En Stock
Wrangler ,FW26,,Camisa,,,Salida Shirt,Azul ,400,,$15.33,"329,000  ","230,300",68%,53%,En Stock
Wrangler ,FW26,,Camisa,,,Salida Shirt,Verde,400,,$15.33,"329,000  ","230,300",68%,53%,En Stock
Wrangler ,FW26,,Camisa,,,Campsite Shirt ,Verde,400,,$14.39,"309,000  ","216,300",68%,53%,En Stock
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Campera clásica suede ,Marrón ,40,China ,$27.49,"589,000  ","412,300",68%,53%,Enero
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Campera Capitoneada ,Marrón oscuro ,64,China ,$27.49,"589,000  ","412,300",68%,53%,Enero
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Campera Capitoneada ,Beige,64,China ,$27.49,"619,000  ","433,300",70%,56%,Enero
Wrangler,FW26,MODAPIEL ,Abrigo ,,,Campera Sherpa ,Marrón ,64,China ,$27.49,"659,000  ","461,300",72%,58%,Enero
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Biker faux leather ,Marrón ,40,China ,$23.36,"529,000  ","370,300",70%,56%,Enero
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Campera Sherpa cropped ,Negro ,40,China ,$26.12,"549,000  ","384,300",68%,52%,Enero
Wrangler ,FW26,MODAPIEL ,Abrigo ,,,Abrigo estampado ,Rojo ,40,China ,$21.99,"519,000  ","363,300",71%,58%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera Capitoneada ,Negra,50,China ,$23.36,"519,000  ","363,300",69%,55%,Enero
